Day,Topic,Status,Notebook/File,Notes
1,Python setup and basics,Not Started,,
2,Variables and data types,Not Started,,
3,Conditions and loops,Not Started,,
4,Functions,Not Started,,
5,Lists tuples sets dictionaries,Not Started,,
6,File handling and exceptions,Not Started,,
7,NumPy arrays,Not Started,,
8,NumPy operations,Not Started,,
9,Pandas Series and DataFrame,Not Started,,
10,Pandas cleaning basics,Not Started,,
11,Matplotlib basics,Not Started,,
12,Seaborn basics,Not Started,,
13,Statistics mean median variance,Not Started,,
14,Probability basics,Not Started,,
15,Linear algebra basics,Not Started,,
16,Calculus and gradients idea,Not Started,,
17,Data preprocessing overview,Not Started,,
18,Train test split and validation,Not Started,,
19,Mini project data analysis,Not Started,,
20,Revision Python math data,Not Started,,
21,EDA workflow,Not Started,,
22,Missing values,Not Started,,
23,Outliers,Not Started,,
24,Encoding categorical data,Not Started,,
25,Feature scaling,Not Started,,
26,Feature engineering,Not Started,,
27,Correlation and covariance,Not Started,,
28,Visualization for insights,Not Started,,
29,Data leakage,Not Started,,
30,Scikit-learn workflow,Not Started,,
31,Supervised vs unsupervised learning,Not Started,,
32,Regression metrics,Not Started,,
33,Classification metrics,Not Started,,
34,Bias variance tradeoff,Not Started,,
35,Cross validation,Not Started,,
36,Pipelines,Not Started,,
37,Model persistence,Not Started,,
38,EDA mini project,Not Started,,
39,Clean ML dataset project,Not Started,,
40,Revision data analysis,Not Started,,
41,Linear regression theory,Not Started,,
42,Linear regression practice,Not Started,,
43,Polynomial regression,Not Started,,
44,Ridge and Lasso,Not Started,,
45,Logistic regression theory,Not Started,,
46,Logistic regression practice,Not Started,,
47,K nearest neighbors,Not Started,,
48,Naive Bayes,Not Started,,
49,Decision tree,Not Started,,
50,Random forest,Not Started,,
51,Gradient boosting,Not Started,,
52,XGBoost or HistGradientBoosting,Not Started,,
53,Support vector machine,Not Started,,
54,K-means clustering,Not Started,,
55,Hierarchical clustering,Not Started,,
56,PCA dimensionality reduction,Not Started,,
57,Imbalanced data,Not Started,,
58,Hyperparameter tuning,Not Started,,
59,Model interpretation,Not Started,,
60,End-to-end ML project 1,Not Started,,
61,End-to-end ML project 1 improve,Not Started,,
62,End-to-end ML project 2,Not Started,,
63,End-to-end ML project 2 improve,Not Started,,
64,ML revision,Not Started,,
65,ML interview questions,Not Started,,
66,Neural network intuition,Not Started,,
67,TensorFlow or PyTorch setup,Not Started,,
68,Build first neural network,Not Started,,
69,Activation and loss functions,Not Started,,
70,Backpropagation intuition,Not Started,,
71,Training deep networks,Not Started,,
72,Regularization dropout batchnorm,Not Started,,
73,CNN intuition,Not Started,,
74,CNN image classifier,Not Started,,
75,Transfer learning,Not Started,,
76,NLP text preprocessing,Not Started,,
77,Text classification,Not Started,,
78,Embeddings basics,Not Started,,
79,Time series basics,Not Started,,
80,Deep learning mini project,Not Started,,
81,Project house price prediction,Not Started,,
82,Project churn prediction,Not Started,,
83,Project spam detection,Not Started,,
84,Project recommendation system,Not Started,,
85,Project image classification,Not Started,,
86,Project deployment basics,Not Started,,
87,Build Streamlit app,Not Started,,
88,Model API basics,Not Started,,
89,Git and GitHub for ML,Not Started,,
90,Write project README,Not Started,,
91,Portfolio project cleanup,Not Started,,
92,Portfolio project cleanup,Not Started,,
93,Portfolio project cleanup,Not Started,,
94,Case study practice,Not Started,,
95,Mock interview project explanation,Not Started,,
96,Revise statistics,Not Started,,
97,Revise ML algorithms,Not Started,,
98,Revise deep learning,Not Started,,
99,Final portfolio polish,Not Started,,
100,Final review and next roadmap,Not Started,,

